Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;P.P.;68
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;P.S.O.E.;48
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;C's;11
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;UPyD;5
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;PODEMOS;5
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;FE de las JONS;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;I.U.EQUO;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;VOX;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;199;83;114;152;2;9;PACMA;1
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;P.P.;300
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;P.S.O.E.;233
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;PODEMOS;100
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;C's;44
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;I.U.EQUO;25
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;UPyD;8
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;PACMA;6
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;VOX;2
05-002-1-001-U;AVILA;002;LA ADRADA;1;001;U;1058;380;589;756;24;14;FE de las JONS;0
05-002-1-002-U;AVILA;002;LA ADRADA;1;002;U;918;318;500;659;25;10;P.P.;225
05-002-1-002-U;AVILA;002;LA ADRADA;1;002;U;918;318;500;659;25;10;P.S.O.E.;199
